variant,seed_index,checkpoint_dir,icl_alpha,perplexity,step_flops,val_loss
alibi,0,checkpoints/alibi_main_1B_s137,0.5482296529737842,49.54009987890016,231928233984,3.902782440185547
alibi,1,checkpoints/alibi_main_1B_s2024,0.5490402926017144,49.630893609778425,231928233984,3.904613494873047
alibi,2,checkpoints/alibi_main_1B_s42,0.5378906179567133,49.40843763840227,231928233984,3.9001212120056152
gqa,0,checkpoints/gqa_main_1B_s137,0.545952975094639,52.16023540576848,231928233984,3.9543204307556152
gqa,1,checkpoints/gqa_main_1B_s2024,0.5505165424762111,52.47462770878387,231928233984,3.96032977104187
gqa,2,checkpoints/gqa_main_1B_s42,0.5530215438323708,52.18166698241227,231928233984,3.9547312259674072
modern,0,checkpoints/modern_main_1B_s137,0.558730404528894,37.35993199250109,231928233984,3.620598793029785
modern,1,checkpoints/modern_main_1B_s2024,0.5574612625761032,37.2725646030859,231928233984,3.618257522583008
modern,2,checkpoints/modern_main_1B_s42,0.5497570964526353,37.10743869354822,231928233984,3.6138174533843994
moe_deep,0,checkpoints/moe_deep_main_1B_s137,0.5731856317251205,32.57249739578727,231928233984,3.4834682941436768
moe_deep,1,checkpoints/moe_deep_main_1B_s2024,0.5682113636779121,32.617718462886415,231928233984,3.4848556518554688
moe_deep,2,checkpoints/moe_deep_main_1B_s42,0.5712731412895138,32.636146598069246,231928233984,3.4854204654693604
moe_interleaved,0,checkpoints/moe_interleaved_main_1B_s137,0.5684500059183073,32.674366201456905,231928233984,3.48659086227417
moe_interleaved,1,checkpoints/moe_interleaved_main_1B_s2024,0.5704989207068258,32.40115266795094,231928233984,3.478193998336792
moe_interleaved,2,checkpoints/moe_interleaved_main_1B_s42,0.5717047515249457,32.55915056860407,231928233984,3.483058452606201
moe,0,checkpoints/moe_main_1B_s137,0.5725879304641754,30.898759508758864,231928233984,3.430716037750244
moe,1,checkpoints/moe_main_1B_s2024,0.5743910996527828,30.83358761575493,231928233984,3.4286046028137207
moe,2,checkpoints/moe_main_1B_s42,0.5740030215632205,30.827596888185756,231928233984,3.428410291671753
swa_interleaved,0,checkpoints/swa_interleaved_main_1B_s137,0.5655067296943526,50.83002894332143,231928233984,3.9284873008728027
swa_interleaved,1,checkpoints/swa_interleaved_main_1B_s2024,0.5570113395505727,50.70657921764934,231928233984,3.926055669784546
swa_interleaved,2,checkpoints/swa_interleaved_main_1B_s42,0.604589024901619,51.69494211499995,231928233984,3.945359945297241
swa,0,checkpoints/swa_main_1B_s137,0.6130484928468267,51.635064825762264,212600881152,3.9442009925842285
swa,1,checkpoints/swa_main_1B_s2024,0.61000014400088,51.728785408418666,212600881152,3.946014404296875
swa,2,checkpoints/swa_main_1B_s42,0.6095474418511209,51.30950338037228,212600881152,3.937875986099243
vanilla,0,checkpoints/vanilla_main_1B_s137,0.5298432550508072,40.4192248483282,180388626432,3.699305534362793
vanilla,1,checkpoints/vanilla_main_1B_s2024,0.5385554815325323,40.229194071092,180388626432,3.6945929527282715
vanilla,2,checkpoints/vanilla_main_1B_s42,0.5281585897628727,40.50570054908207,180388626432,3.7014427185058594
linear,0,checkpoints/linear_main_1B_fixed_s137,0.6550704527972387,46.21447039779912,209404821504,3.8332929611206055
linear,1,checkpoints/linear_main_1B_fixed_s2024,0.6455550271625454,46.20142646713011,209404821504,3.833010673522949
linear,2,checkpoints/linear_main_1B_fixed_s42,0.6408744017585234,46.38800445740575,209404821504,3.837040901184082
